ID,ClassYear,ClassSemester,SectionCode,Audit,Status,Grade,GradePctg,MidGrade,MidGradePctg,EarnedStatus
2,2011-2012,1,CS300S12,0,2,7,73,2,90.25,1
2,2011-2012,1,CS315S12,0,2,6,79.9,16,0,1
2,2011-2012,1,CS380S12,0,2,2,91,1,95,2
2,2011-2012,1,GAM250S12,0,2,1,100,6,78,1
2,2011-2012,1,MAT250S12,0,2,2,91,1,96,1
2,2011-2012,1,MAT258S12,0,2,6,78,8,72,1
2,2013-2014,1,CS365S14,0,2,3,88,4,83,1
2,2013-2014,1,CS399S14-I,0,2,1,93,1,100,1
2,2011-2012,0,CS250F11,0,2,3,87,2,90,1
2,2011-2012,0,CS260F11,0,2,6,78,4,85,1
2,2011-2012,0,CS280F11,0,2,3,88.36,5,82.79,1
2,2011-2012,0,GAM200F11,0,2,1,94,1,96,1
2,2011-2012,0,MAT200F11-A,0,2,2,90,1,99,1
2,2011-2012,0,PHY200F11-A,0,2,6,78,7,73.8,1
2,2012-2013,0,CG130F12-A,0,2,4,86,2,90,1
2,2012-2013,0,CS365F12,0,3,0,0,0,0,0
2,2012-2013,0,CS391F12,0,2,2,92,2,92,1
2,2012-2013,0,GAM300F12,0,2,1,95,7,76,1
2,2012-2013,0,MAT300F12,0,2,7,74,7,76,1
2,2013-2014,0,CS562F13,0,2,1,93,1,100,1
2,2013-2014,0,GAM375F13-I,0,2,1,95,1,97,1
2,2013-2014,1,CS175S14,0,3,0,0,0,0,0
2,2013-2014,1,CS245S14,0,2,6,79,5,82,1
2,2013-2014,1,COM250S14,0,2,4,85,1,95,2
2,2013-2014,1,ENG250S14,0,2,5,80,5,82,2
2,2012-2013,1,ART111S13,0,2,4,86.8,2,90.6,1
2,2012-2013,1,CS330S13,0,2,7,73.79,9,69.57,1
2,2012-2013,1,CS365S13,0,3,0,0,0,0,0
2,2012-2013,1,GAM350S13,0,2,1,100,1,95,1
2,2012-2013,1,MAT364S13,0,2,5,81,9,69,1
2,2012-2013,2,GAM390SU13,0,2,16,0,0,0,1
2,2013-2014,0,ENG116F13-C,0,2,5,80,3,89,1
2,2013-2014,0,PHY250F13,0,2,5,82,6,78,1
2,2013-2014,0,CS350F13,0,2,1,100,1,100,1
2,2013-2014,0,CS365F13,0,3,0,0,0,0,0
3,2011-2012,1,ART228S12-B,0,2,3,88,4,84,1
3,2011-2012,1,CG303S12,0,2,6,77,5,80,1
3,2011-2012,0,ANI400F11,0,3,0,0,0,0,0
3,2011-2012,0,ART401F11-D,0,3,0,0,0,0,0
3,2011-2012,0,ART450F11-A,0,2,4,83.29,4,85,1
3,2011-2012,0,PRJ400F11-A,0,2,7,76,8,71,1
3,2011-2012,0,ART401F11-C,0,2,5,80,6,77,1
3,2011-2012,0,CG305F11,0,2,8,70,8,70,1
3,2011-2012,1,ART228S12-A,0,3,0,0,0,0,0
3,2011-2012,1,CS115S12,0,2,4,83,5,82,1
3,2011-2012,1,LAW115S12,0,2,4,84.8,6,77,1
3,2011-2012,1,PRJ450S12-A,0,2,8,72,9,67,1
